name,in_degree,out_degree,pagerank,betweenness,region,trigger,lifespan
Carolingian Empire,0,1,0.0018453396697853874,0.0,Europe,fragmentation,88
Teotihuacan,0,1,0.0018453396697853874,0.0,Americas,fragmentation,850
Maurya Empire,0,1,0.0018453396697853874,0.0,South Asia,fragmentation,137
Ancient Egypt - New Kingdom,0,1,0.0018453396697853874,0.0,Africa,fragmentation,481
Hittite Empire,0,0,0.0018453396697853874,0.0,Middle East,migration,470
Yamato,0,1,0.0018453396697853874,0.0,East Asia,fragmentation,460
Sui Dynasty,0,1,0.0018453396697853874,0.0,East Asia,fragmentation,37
Mycenaean Greece,0,1,0.0018453396697853874,0.0,Europe,migration,500
Fatimid Caliphate,0,0,0.0018453396697853874,0.0,Middle East,conquest,262
Kalmar Union,0,0,0.0018453396697853874,0.0,Europe,fragmentation,126
Great Moravia,0,0,0.0018453396697853874,0.0,Europe,conquest,77
Toltec Empire,0,1,0.0018453396697853874,0.0,Americas,climate,350
Olmec,0,1,0.0018453396697853874,0.0,Americas,climate,1100
